customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
cust-0032,male,0,21.0,yes,fiber optic,month-to-month,no,credit card,29.73,600.01,yes
cust-0110,male,0,55.0,yes,fiber optic,two year,yes,bank transfer,46.32,2515.48,no
cust-0137,female,1,46.0,yes,fiber optic,month-to-month,no,mailed check,87.06,4153.97,yes
cust-0089,female,1,63.0,yes,fiber optic,month-to-month,yes,mailed check,56.97,3641.3,yes
cust-0919,female,0,8.0,yes,dsl,month-to-month,no,electronic check,39.69,309.79,yes
cust-0298,male,0,51.0,yes,fiber optic,month-to-month,yes,mailed check,67.12,3591.46,yes
cust-0871,male,0,5.0,yes,dsl,month-to-month,yes,mailed check,57.59,291.98,yes
cust-0319,male,0,61.0,yes,dsl,one year,yes,mailed check,105.22,6547.31,no
cust-0262,female,0,41.0,yes,dsl,month-to-month,yes,electronic check,41.74,1760.03,no
cust-0536,female,0,19.0,yes,no,one year,yes,electronic check,57.72,1149.78,no
cust-0920,male,0,13.0,yes,fiber optic,month-to-month,no,mailed check,66.97,878.77,yes
cust-0597,female,0,30.0,yes,dsl,two year,yes,electronic check,23.2,668.6,no
cust-0077,female,0,7.0,yes,no,month-to-month,yes,mailed check,31.57,227.07,yes
cust-0108,female,0,41.0,yes,fiber optic,month-to-month,yes,mailed check,76.47,,yes
cust-0425,male,1,18.0,no,dsl,month-to-month,no,electronic check,97.42,1763.21,yes
cust-0585,female,1,43.0,yes,fiber optic,one year,no,electronic check,24.72,1027.74,no
cust-0854,female,1,10.0,yes,fiber optic,month-to-month,no,electronic check,45.39,451.97,yes
cust-0665,male,1,19.0,yes,fiber optic,two year,yes,credit card,,483.31,no
cust-0830,male,0,8.0,yes,no,two year,yes,electronic check,43.27,331.4,no
cust-0421,female,0,38.0,yes,fiber optic,two year,no,mailed check,91.43,3438.64,no
cust-0598,male,0,57.0,yes,no,month-to-month,yes,credit card,32.31,1764.75,yes
cust-0459,male,0,60.0,yes,dsl,month-to-month,yes,bank transfer,85.81,,yes
cust-0313,male,0,55.0,yes,dsl,two year,yes,bank transfer,20.26,1156.29,no
cust-0650,male,0,39.0,yes,no,month-to-month,yes,credit card,106.03,4177.57,no
cust-0366,male,0,19.0,no,dsl,two year,yes,bank transfer,42.25,779.98,no
cust-0322,female,0,27.0,yes,no,one year,no,credit card,92.97,2445.32,no
cust-0630,male,0,3.0,yes,fiber optic,one year,yes,bank transfer,43.72,128.22,no
cust-0915,female,0,17.0,yes,fiber optic,one year,yes,bank transfer,33.22,562.84,no
cust-0469,male,1,34.0,yes,dsl,month-to-month,no,electronic check,100.29,3439.15,no
cust-0599,male,0,47.0,yes,dsl,month-to-month,yes,credit card,88.76,3964.26,no
cust-0395,male,0,51.0,yes,fiber optic,month-to-month,yes,credit card,85.06,4475.06,no
cust-0537,female,0,64.0,yes,dsl,month-to-month,yes,mailed check,90.5,5519.97,yes
cust-0721,female,0,37.0,yes,fiber optic,two year,no,credit card,33.93,1211.79,no
cust-0334,male,1,49.0,yes,dsl,month-to-month,yes,mailed check,34.68,1681.06,yes
cust-0410,male,1,41.0,yes,no,two year,no,mailed check,82.84,3410.42,yes
cust-0060,male,0,2.0,yes,dsl,month-to-month,no,bank transfer,91.08,191.03,no
cust-0257,female,0,41.0,yes,fiber optic,month-to-month,no,bank transfer,,3480.64,yes
cust-0970,male,0,41.0,yes,fiber optic,two year,no,bank transfer,74.72,3013.27,no
cust-0686,female,1,4.0,yes,dsl,two year,no,electronic check,45.26,184.43,no
cust-0343,male,1,62.0,yes,fiber optic,one year,yes,electronic check,48.19,2867.83,no
cust-0636,male,0,61.0,yes,fiber optic,two year,no,credit card,29.7,,no
cust-0709,male,0,9.0,no,fiber optic,two year,yes,mailed check,25.97,223.55,no
cust-0011,male,0,56.0,no,no,month-to-month,yes,mailed check,57.39,,no
cust-0486,female,0,51.0,yes,no,month-to-month,no,electronic check,68.43,,yes
cust-0210,male,1,57.0,yes,no,month-to-month,no,bank transfer,87.34,5134.85,yes
cust-0140,female,0,63.0,yes,fiber optic,two year,yes,bank transfer,89.89,5588.37,no
cust-0389,female,1,41.0,yes,no,month-to-month,no,mailed check,23.03,957.89,yes
cust-0623,male,0,63.0,yes,fiber optic,month-to-month,yes,electronic check,99.57,6560.55,no
cust-0825,female,0,16.0,yes,dsl,one year,yes,electronic check,94.96,1507.47,yes
cust-0718,female,0,70.0,yes,fiber optic,month-to-month,yes,credit card,76.76,5549.35,yes
cust-0846,male,0,28.0,yes,dsl,month-to-month,yes,mailed check,107.97,3125.56,no
cust-0688,male,0,8.0,yes,fiber optic,month-to-month,no,electronic check,44.12,360.48,yes
cust-0936,male,0,48.0,yes,fiber optic,two year,no,mailed check,83.27,4194.59,no
cust-0582,female,0,61.0,yes,fiber optic,one year,no,electronic check,,1712.65,no
cust-0383,female,1,33.0,yes,dsl,month-to-month,no,electronic check,93.39,3136.56,no
cust-0071,female,0,10.0,yes,dsl,one year,yes,mailed check,41.97,413.02,no
cust-0261,female,0,2.0,yes,dsl,month-to-month,no,electronic check,52.93,,no
cust-0801,female,1,43.0,yes,dsl,one year,yes,bank transfer,74.56,3049.0,no
cust-0454,female,0,65.0,yes,dsl,one year,no,credit card,31.24,2108.62,no
cust-0592,female,1,66.0,yes,dsl,month-to-month,no,electronic check,,3716.68,no
cust-0907,female,1,18.0,yes,dsl,one year,yes,electronic check,49.11,902.72,no
cust-0785,male,0,53.0,yes,dsl,month-to-month,yes,credit card,69.13,3718.68,yes
cust-0214,male,0,,yes,fiber optic,month-to-month,yes,credit card,88.67,1455.85,yes
cust-0097,female,0,52.0,yes,dsl,one year,yes,mailed check,63.45,3257.67,no
cust-0680,female,0,28.0,no,no,month-to-month,no,electronic check,48.31,1399.11,yes
cust-0850,female,0,71.0,yes,dsl,month-to-month,no,bank transfer,30.87,2218.5,yes
cust-0913,female,1,29.0,yes,dsl,month-to-month,yes,credit card,,1917.39,yes
cust-0881,male,0,46.0,yes,fiber optic,month-to-month,yes,bank transfer,68.43,3074.46,yes
cust-0193,female,0,40.0,no,no,one year,no,electronic check,52.53,2152.86,yes
cust-0281,female,0,,yes,dsl,month-to-month,no,electronic check,108.8,943.17,no
cust-0534,female,0,17.0,yes,no,one year,yes,electronic check,76.74,1319.73,no
cust-0683,male,0,22.0,yes,fiber optic,month-to-month,yes,credit card,59.96,1368.16,yes
cust-0618,male,0,60.0,yes,dsl,month-to-month,yes,bank transfer,90.83,5275.1,no
cust-0983,male,0,26.0,yes,dsl,month-to-month,yes,bank transfer,84.47,2131.49,no
cust-0911,female,0,6.0,yes,fiber optic,month-to-month,yes,electronic check,34.2,197.73,no
cust-0185,male,0,69.0,yes,no,month-to-month,yes,credit card,,1738.72,yes
cust-0031,female,0,58.0,yes,no,month-to-month,no,electronic check,77.92,4625.56,no
cust-0329,male,0,48.0,yes,fiber optic,month-to-month,yes,electronic check,,3915.92,no
cust-0507,female,0,49.0,yes,fiber optic,one year,yes,bank transfer,25.81,,no
cust-0055,female,1,17.0,yes,fiber optic,two year,yes,electronic check,38.86,648.36,no
cust-0024,male,1,71.0,yes,no,month-to-month,no,electronic check,85.92,5812.29,yes
cust-0102,female,1,69.0,yes,dsl,two year,yes,credit card,32.33,2221.55,yes
cust-0550,female,0,12.0,yes,no,one year,no,electronic check,85.49,991.47,no
cust-0248,female,0,40.0,yes,dsl,two year,no,credit card,47.95,1974.76,no
cust-0004,female,0,14.0,yes,dsl,one year,no,mailed check,44.77,606.39,no
